embeddings	embedding_dimention	activation_function	epochs	pca	accuracy	precision	recall	f1_score
word2vec	200	exponential	500	pca	0.723174	0.867715	0.732812	0.794579
word2vec	200	exponential	500	nopca	0.763699	0.777564	0.947656	0.854225
word2vec	300	tanh	50	pca	0.796804	0.861502	0.860156	0.860829
word2vec	300	tanh	50	nopca	0.793379	0.892308	0.815625	0.852245
word2vec	300	tanh	100	pca	0.808219	0.892027	0.839063	0.864734
word2vec	300	tanh	100	nopca	0.803082	0.864380	0.866406	0.865392
word2vec	300	tanh	200	pca	0.786530	0.853354	0.854688	0.854020
word2vec	300	tanh	200	nopca	0.807648	0.871552	0.864062	0.867791
word2vec	300	tanh	300	pca	0.794521	0.852221	0.869531	0.860789
word2vec	300	tanh	300	nopca	0.785388	0.879832	0.817969	0.847773
word2vec	300	tanh	400	pca	0.772831	0.808824	0.902344	0.853028
word2vec	300	tanh	400	nopca	0.796804	0.872581	0.845313	0.858730
word2vec	300	tanh	500	pca	0.801370	0.857911	0.872656	0.865221
word2vec	300	tanh	500	nopca	0.801941	0.868775	0.858594	0.863654
word2vec	300	relu	50	pca	0.785959	0.846213	0.864062	0.855044
word2vec	300	relu	50	nopca	0.811644	0.866512	0.877344	0.871894
word2vec	300	relu	100	pca	0.789384	0.880535	0.823438	0.851029
word2vec	300	relu	100	nopca	0.808219	0.859209	0.882031	0.870470
word2vec	300	relu	200	pca	0.793379	0.856921	0.860938	0.858924
word2vec	300	relu	200	nopca	0.803082	0.859339	0.873437	0.866331
word2vec	300	relu	300	pca	0.783676	0.844156	0.863281	0.853611
word2vec	300	relu	300	nopca	0.800228	0.875000	0.847656	0.861111
word2vec	300	relu	400	pca	0.787671	0.860317	0.846875	0.853543
word2vec	300	relu	400	nopca	0.804795	0.855303	0.882031	0.868462
word2vec	300	relu	500	pca	0.805365	0.851685	0.888281	0.869598
word2vec	300	relu	500	nopca	0.820776	0.852555	0.912500	0.881509
word2vec	300	sigmoid	50	pca	0.783676	0.871393	0.825781	0.847974
word2vec	300	sigmoid	50	nopca	0.817352	0.861991	0.892969	0.877206
word2vec	300	sigmoid	100	pca	0.812215	0.849375	0.903125	0.875426
word2vec	300	sigmoid	100	nopca	0.809361	0.861621	0.880469	0.870943
word2vec	300	sigmoid	200	pca	0.800228	0.851208	0.880469	0.865591
word2vec	300	sigmoid	200	nopca	0.816210	0.873635	0.875000	0.874317
word2vec	300	sigmoid	300	pca	0.806507	0.853494	0.887500	0.870165
word2vec	300	sigmoid	300	nopca	0.815068	0.872274	0.875000	0.873635
word2vec	300	sigmoid	400	pca	0.791667	0.853828	0.862500	0.858142
word2vec	300	sigmoid	400	nopca	0.820205	0.873163	0.882031	0.877575
word2vec	300	sigmoid	500	pca	0.780822	0.847287	0.853906	0.850584
word2vec	300	sigmoid	500	nopca	0.815068	0.868259	0.880469	0.874321
word2vec	300	exponential	50	pca	0.797374	0.878168	0.839063	0.858170
word2vec	300	exponential	50	nopca	0.795662	0.860720	0.859375	0.860047
word2vec	300	exponential	100	pca	0.803653	0.861111	0.871875	0.866460
word2vec	300	exponential	100	nopca	0.817352	0.883387	0.864062	0.873618
word2vec	300	exponential	200	pca	0.811644	0.866512	0.877344	0.871894
word2vec	300	exponential	200	nopca	0.820205	0.863602	0.895312	0.879171
word2vec	300	exponential	300	pca	0.718037	0.838210	0.760938	0.797707
word2vec	300	exponential	300	nopca	0.822489	0.874131	0.884375	0.879223
word2vec	300	exponential	400	pca	0.817352	0.872671	0.878125	0.875389
word2vec	300	exponential	400	nopca	0.811073	0.867545	0.875000	0.871256
word2vec	300	exponential	500	pca	0.811073	0.865281	0.878125	0.871656
word2vec	300	exponential	500	nopca	0.811073	0.855431	0.892188	0.873423
glove	10	tanh	50	pca	0.796804	0.886935	0.827344	0.856103
glove	10	tanh	50	nopca	0.803082	0.880391	0.845313	0.862495
glove	10	tanh	100	pca	0.813927	0.853333	0.900000	0.876046
glove	10	tanh	100	nopca	0.805365	0.865370	0.868750	0.867057
glove	10	tanh	200	pca	0.781963	0.868637	0.826562	0.847078
glove	10	tanh	200	nopca	0.803082	0.861562	0.870313	0.865915
glove	10	tanh	300	pca	0.735160	0.838870	0.789062	0.813205
glove	10	tanh	300	nopca	0.808219	0.854887	0.888281	0.871264
glove	10	tanh	400	pca	0.785959	0.864039	0.839063	0.851367
glove	10	tanh	400	nopca	0.812785	0.877179	0.864844	0.870968
glove	10	tanh	500	pca	0.821918	0.874034	0.883594	0.878788
glove	10	tanh	500	nopca	0.818493	0.866616	0.888281	0.877315
glove	10	relu	50	pca	0.803653	0.865055	0.866406	0.865730
glove	10	relu	50	nopca	0.789384	0.868826	0.838281	0.853280
glove	10	relu	100	pca	0.790525	0.866667	0.842969	0.854653
glove	10	relu	100	nopca	0.809932	0.853622	0.892969	0.872852
glove	10	relu	200	pca	0.780822	0.845679	0.856250	0.850932
glove	10	relu	200	nopca	0.800799	0.868567	0.857031	0.862761
glove	10	relu	300	pca	0.805365	0.852213	0.887500	0.869499
glove	10	relu	300	nopca	0.795662	0.864715	0.853906	0.859277
glove	10	relu	400	pca	0.807648	0.886159	0.845313	0.865254
glove	10	relu	400	nopca	0.803653	0.870840	0.858594	0.864673
glove	10	relu	500	pca	0.759703	0.821242	0.857812	0.839129
glove	10	relu	500	nopca	0.815068	0.856716	0.896875	0.876336
glove	10	sigmoid	50	pca	0.807078	0.866252	0.870313	0.868277
glove	10	sigmoid	50	nopca	0.806507	0.867866	0.867188	0.867526
glove	10	sigmoid	100	pca	0.799087	0.853659	0.875000	0.864198
glove	10	sigmoid	100	nopca	0.819064	0.857461	0.902344	0.879330
glove	10	sigmoid	200	pca	0.803653	0.861669	0.871094	0.866356
glove	10	sigmoid	200	nopca	0.776826	0.824216	0.882812	0.852508
glove	10	sigmoid	300	pca	0.803653	0.862791	0.869531	0.866148
glove	10	sigmoid	300	nopca	0.801941	0.877733	0.846875	0.862028
glove	10	sigmoid	400	pca	0.797945	0.852359	0.875000	0.863531
glove	10	sigmoid	400	nopca	0.803082	0.862122	0.869531	0.865811
glove	10	sigmoid	500	pca	0.791667	0.851113	0.866406	0.858691
glove	10	sigmoid	500	nopca	0.802511	0.868297	0.860156	0.864207
glove	10	exponential	50	pca	0.789954	0.875000	0.831250	0.852564
glove	10	exponential	50	nopca	0.813356	0.839629	0.920312	0.878122
glove	10	exponential	100	pca	0.781963	0.827259	0.886719	0.855958
glove	10	exponential	100	nopca	0.793379	0.864286	0.850781	0.857480
glove	10	exponential	200	pca	0.763699	0.800694	0.900781	0.847794
glove	10	exponential	200	nopca	0.808219	0.886885	0.845313	0.865600
glove	10	exponential	300	pca	0.812785	0.855224	0.895312	0.874809
glove	10	exponential	300	nopca	0.798516	0.841562	0.892188	0.866136
glove	10	exponential	400	pca	0.783105	0.803235	0.931250	0.862518
glove	10	exponential	400	nopca	0.792237	0.857254	0.858594	0.857923
glove	10	exponential	500	pca	0.797374	0.880033	0.836719	0.857829
glove	10	exponential	500	nopca	0.771119	0.797160	0.921094	0.854657
glove	30	tanh	50	pca	0.799087	0.849398	0.881250	0.865031
glove	30	tanh	50	nopca	0.798516	0.873489	0.846875	0.859976
glove	30	tanh	100	pca	0.784817	0.866180	0.834375	0.849980
glove	30	tanh	100	nopca	0.769406	0.797959	0.916406	0.853091
glove	30	tanh	200	pca	0.785959	0.849961	0.858594	0.854256
glove	30	tanh	200	nopca	0.809932	0.865637	0.875781	0.870680
glove	30	tanh	300	pca	0.777397	0.871452	0.815625	0.842615
glove	30	tanh	300	nopca	0.791096	0.882107	0.824219	0.852181
glove	30	tanh	400	pca	0.793379	0.858594	0.858594	0.858594
glove	30	tanh	400	nopca	0.796233	0.867729	0.850781	0.859172
glove	30	tanh	500	pca	0.776826	0.900812	0.780469	0.836333
glove	30	tanh	500	nopca	0.803653	0.870253	0.859375	0.864780
glove	30	relu	50	pca	0.805936	0.841570	0.904687	0.871988
glove	30	relu	50	nopca	0.804224	0.854656	0.882031	0.868128
glove	30	relu	100	pca	0.753425	0.865517	0.784375	0.822951
glove	30	relu	100	nopca	0.805365	0.853806	0.885156	0.869198
glove	30	relu	200	pca	0.752854	0.812546	0.860156	0.835674
glove	30	relu	200	nopca	0.805365	0.863109	0.871875	0.867470
glove	30	relu	300	pca	0.799087	0.836720	0.900781	0.867570
glove	30	relu	300	nopca	0.812215	0.862700	0.883594	0.873022
glove	30	relu	400	pca	0.800228	0.866719	0.858594	0.862637
glove	30	relu	400	nopca	0.796233	0.868316	0.850000	0.859060
glove	30	relu	500	pca	0.813927	0.876777	0.867188	0.871956
glove	30	relu	500	nopca	0.800799	0.881245	0.840625	0.860456
glove	30	sigmoid	50	pca	0.801941	0.855293	0.877344	0.866178
glove	30	sigmoid	50	nopca	0.800228	0.887500	0.832031	0.858871
glove	30	sigmoid	100	pca	0.806507	0.884082	0.846094	0.864671
glove	30	sigmoid	100	nopca	0.791096	0.860410	0.852344	0.856358
glove	30	sigmoid	200	pca	0.798516	0.864673	0.858594	0.861623
glove	30	sigmoid	200	nopca	0.795091	0.863457	0.854688	0.859050
glove	30	sigmoid	300	pca	0.811644	0.869938	0.872656	0.871295
glove	30	sigmoid	300	nopca	0.798516	0.865248	0.857812	0.861514
glove	30	sigmoid	400	pca	0.804224	0.855193	0.881250	0.868026
glove	30	sigmoid	400	nopca	0.801370	0.859014	0.871094	0.865012
glove	30	sigmoid	500	pca	0.795662	0.854071	0.868750	0.861348
glove	30	sigmoid	500	nopca	0.790525	0.891845	0.811719	0.849898
glove	30	exponential	50	pca	0.786530	0.816341	0.913281	0.862094
glove	30	exponential	50	nopca	0.804795	0.861325	0.873437	0.867339
glove	30	exponential	100	pca	0.803653	0.858346	0.875781	0.866976
glove	30	exponential	100	nopca	0.734589	0.864164	0.755469	0.806169
